x   y
118 52
118 106
118 160
118 214
118 268
118 322
118 376
118 430
118 484
118 538
118 592
118 646
118 700
118 754
118 808
118 862
118 916
118 970
118 1024
118 1078
118 1132
118 1186
118 1240
118 1294
118 1348
118 1402
118 1456
118 1510
118 1564
118 1618
118 1672
118 1726
118 1780
118 1834
118 1888
118 1942
118 1996
216 52
216 106
216 160
216 214
216 268
216 322
216 376
216 430
216 484
216 538
216 592
216 646
216 700
216 754
216 808
216 862
216 916
216 970
216 1024
216 1078
216 1132
216 1186
216 1240
216 1294
216 1348
216 1402
216 1456
216 1510
216 1564
216 1618
216 1672
216 1726
216 1780
216 1834
216 1888
216 1942
216 1996
314 52
314 106
314 160
314 214
314 268
314 322
314 376
314 430
314 484
314 538
314 592
314 646
314 700
314 754
314 808
314 862
314 916
314 970
314 1024
314 1078
314 1132
314 1186
314 1240
314 1294
314 1348
314 1402
314 1456
314 1510
314 1564
314 1618
314 1672
314 1726
314 1780
314 1834
314 1888
314 1942
314 1996
412 52
412 106
412 160
412 214
412 268
412 322
412 376
412 430
412 484
412 538
412 592
412 646
412 700
412 754
412 808
412 862
412 916
412 970
412 1024
412 1078
412 1132
412 1186
412 1240
412 1294
412 1348
412 1402
412 1456
412 1510
412 1564
412 1618
412 1672
412 1726
412 1780
412 1834
412 1888
412 1942
412 1996
510 52
510 106
510 160
510 214
510 268
510 322
510 376
510 430
510 484
510 538
510 592
510 646
510 700
510 754
510 808
510 862
510 916
510 970
510 1024
510 1078
510 1132
510 1186
510 1240
510 1294
510 1348
510 1402
510 1456
510 1510
510 1564
510 1618
510 1672
510 1726
510 1780
510 1834
510 1888
510 1942
510 1996
608 52
608 106
608 160
608 214
608 268
608 322
608 376
608 430
608 484
608 538
608 592
608 646
608 700
608 754
608 808
608 862
608 916
608 970
608 1024
608 1078
608 1132
608 1186
608 1240
608 1294
608 1348
608 1402
608 1456
608 1510
608 1564
608 1618
608 1672
608 1726
608 1780
608 1834
608 1888
608 1942
608 1996
706 52
706 106
706 160
706 214
706 268
706 322
706 376
706 430
706 484
706 538
706 592
706 646
706 700
706 754
706 808
706 862
706 916
706 970
706 1024
706 1078
706 1132
706 1186
706 1240
706 1294
706 1348
706 1402
706 1456
706 1510
706 1564
706 1618
706 1672
